University,Mascot,Audition process?,Colorguard,Size(about),Marching Style,
Univ of Wash,Huskies,Yes,No,240,Chair Step,yes
Wash State,Cougers,No,Yes,170,Straight Leg,yes
Univ of Oregon,Ducks,No,Yes,250,Roll Step,yes
Oregon State,Beavers,No,Yes,          250+,Roll Step,yes
Cal,Golden Bears,Yes,No,200,High Step,yes
USC,Trojans,No,No,300-350,Lazy Chair Step,yes
Stanford,Cardinal,Hell No,No,100-150,Scatter/Run to Spot,yes
UCLA,Bruins,Yes,Yes,250,High Step,yes
ASU,Sun Devils,Yes but not winds,Yes,350,Roll Step,
Univ of Arizona,Wildcats,No,Yes,250,Roll Step,
Univ of Utah,Utes,No,No,150,Roll Step,yes
Univ of Col,Buffalos ,Yes but not winds,Yes,225,Roll Step,yes
